"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A4010,Y3,16 05 06*; 16 05 07*; 16 05 08*,Laboratory reagents,"H3,H6.1,H8,H12",4.17,"ES,GB,NL,DE",BE,D10,,Malta
A4020,"Y1,Y2,Y3",18 01 08*; 18 01 03*; 18 01 06*,Cytotoxic and cytostatic medicines,"H3,H6.1",5.897,"ES,GB,NL,DE",BE,D10,,Malta
A4010,Y2,07 05 13*,Solid pharmaceutical waste,"H11,H12",12.907,"ES,GB,NL,DE",BE,D10,,Malta
A4010,Y2,16 10 01*,Aqueous liquid waste,"H3,H6.1,H12",76.546,ES,PT,,R2,Malta
A4010,Y2,07 05 04*,"Other organic solvents, washing liquids and mother liquors","H3,H6.1",59.13,,IT,"D13,D15,D10",,Malta
A4130,Y18,15 02 02*,Contaminated rags/filters,H12,27.46,ES,PT,,"R12,R1",Malta
A4010,Y2,16 05 06*; 16 05 08*,Laboratory reagents,"H3,H6.1,H8,H12",5.152,ES,PT,D10,,Malta
A4020,"Y1,Y3",18 01 08*; 18 01 03*; 18 01 06*,Cytotoxic and cytostatic medicines,"H3,H6.1",4.821,ES,PT,D10,,Malta
A4010,Y2,07 05 13*; 07 05 14,Solid pharmaceutical waste,"H11,H12",6.88232,ES,PT,D10,,Malta
,,16 01 04*,M.V. Seven Pelican (IMO: 8420244),H6.1,4892.0,,TR,,R4,Malta
,"Y3,Y6,Y12,Y13",19 12 11*,Other waste (including mixtures of materials) from mechanical treatment of waste containing dangerous substances,"H3,H4.1,H6.1",1122.033,IT,FR,"D13,D10",,Malta
,Y34,"06 01 01*, 06 01 02*,06 01 03*,06 01 04*,06 01 05*,06 01 06*",Acid related waste,"H3,H8",22.201,ES,PT,"D9,D1",,Malta
A4070,Y12,"08 01 11*, 08 01 13*, 08 03 12*, 08 03 14*",Paint and ink waste,"H3,H12",46.78074,ES,PT,"D9,D1",,Malta
,"Y8,Y9",16 07 08*,Waste containing oil,H12,33.259,ES,PT,"D9,D1",,Malta
A4010,Y2,07 07 10*,Filter cake and spent absorbents,H4.1,10.179,ES,PT,"D9,D1",,Malta
A4060,Y9,16 10 03*,Coolant waste,H12,28.854,ES,PT,"D9,D1",,Malta
A2050,Y36,"17 06 01*, 17 06 05*",Construction and insulation materials containing asbestos,H11,33.05,,ES,"D13,D5",,Malta
,Y18,15 02 02*,Contaminated rags/filters,H12,11.416,ES,PT,D9,,Malta
Y46,,19 12 12,Waste from mechanical treatment,,339.68,ES,PT,D1,,Malta
A4010,"Y2,Y42",07 05 04*,"Organic  solvents, washing liquids and mother liquors waste","H3,H6.1,H12",365.01,"IT,AT",DE,D10,,Malta
B1120,Y34,,Spent motor vehicle catalysts,H11,780.0,,US,,"R4,R8",Mexico
A1170,,,Lithium batteries,,25.0,,US,,R4,Mexico
B1010,,,Waste electronic components,H12,500.0, ,US,,R4,Mexico
A4070,,,Empty plastic and/or metal containers previously contaminated,,4000.0, ,US,D1,,Mexico
,,RP7/08,Tin/Silver Solder Slag,H11,47.4,,US,,R4,Mexico
,,RP7/08,Tin/Lead Solder Slag,H11,110.6,,US,,R4,Mexico
A1050,Y17,RP5/01,"Copper sludge, filter paper, impregnated",H12,80.0,,US,,R4,Mexico
A1050,Y17,,Sludge from electroplating wastewater,H12,6771.0,,US,,R4,Mexico
A1050,Y17,,Sludge from nickel plating baths,H12,120.0,,US,,R4,Mexico
,,RP7/08,Tin / Silver solder paste,H12,15.8,,US,,R4,Mexico
,,RP7/08,Tin / Lead solder paste,H12,47.4,,US,,R4,Mexico
A1010,,,Plastics with Sn and Pb solder residues,H12,116.48,,US,,R4,Mexico
A1080,Y23,,Electric furnace emission control equipment dusts,H11,14400.0,,US,,R4,Mexico
A1180,,,Technological Waste,H12,1200.0,,US,,R4,Mexico
A1180,,,Technological Waste,H12,620.0,,JP,,R4,Mexico
A1010,Y31,,Leaded tin solder waste Sn63/Pb37,H12,233.0,,US,,R4,Mexico
B1010,,,Lead free tin solder waste,H12,700.0,,US,,R4,Mexico
B1010,,,Electronic card scrap with and without components,H12,250.0,,US,,R4,Mexico
A4060,,,"Solids with hydrocarbons, grease and paint",H12,7500.0,,US,D1,,Mexico
A1050,,SO4,Nickel impregnated solids,H12,200.0,,US,,R4,Mexico
A1180,,,Complete or crushed electronic boards,H12,650.0,,BE,,R4,Mexico
A1180,,,Complete or crushed electronic boards,H12,960.0,,US,,R4,Mexico
A1180,,,Electronic Cards (Electronic Scrap),H12,2000.0,,JP,,R4,Mexico
B1110,Y34,,Electronic cards,H12,287.0,,JP,,R4,Mexico
B1010,Y31,RP7/08,Textiles with heavy metal welding slag,H12,116.48,,US,,R4,Mexico
Y46,,,Déchets issus du tri des emballages ménagers recyclables triés à la source,,982.0,,FR,,"R4,R5,R12",Monaco
Y47,,,Mâchefers issus du traitement thermique des déchets ménagers et assimilés de l'unité nationale,,8454.4,,FR,D5,,Monaco
Y47,,,Cendres volantes issues de l'épuration des fumées du traitement thermique des déchets ménagers et assimilés traités dans l'unité de valorisation thermique nationale,,1178.0,,FR,D9,,Monaco
Y47,,,Boues issues du lavage des fumées issues du traitement thermique des déchets ménagers et assimilés dans l'unité de valorisation énergétique nationale,,30.82,,FR,D9,,Monaco
,Y_,,Boues issue de la station d'épuration des eaux usées issues de la commune française de Beausoleil et de la Principauté de Monaco. L'unité d'épuration est sur le territoire monégasque.,,4781.0,,FR,,R3,Monaco
,Y_,,Etanchéité - Calendrite,,1.625,,FR,"D5,D13",,Monaco
A4130,"Y2,Y3,Y4",,Emballages souillés,,50.57,,FR,,"R1,R3,R4,R12,R13",Monaco
A3020,Y8,,Huiles usagées,H12,47.07,,FR,,"R9,R13",Monaco
A4060,Y9,,Eaux souillées,"H8,H11,H12",160.56,,FR,"D10,D13",,Monaco
A1030,,,Ampoules et néons,H11,4.02,,FR,,"R4,R5,R13",Monaco
"A1170,Y46",Y10,,Piles et accumulateurs en mélange,H4.1,5.0,,FR,,"R4,R12",Monaco
A1160,Y31,,Batterie Plomb,"H8,H12",7.655,,FR,,"R4,R13",Monaco
A1020,Y31,,Déchets contenant du plomb,,0.141,,FR,"D5,D13",,Monaco
,Y_,,Déchets d'équipements électriques et électroniques,H12,1.5,,FR,,"R4,R13",Monaco
A1180,,,Déchet d'Equipements électriques et électroniques,"H4.1,H12",3.05,,FR,,"R4,R13",Monaco
A3140,"Y6,Y42",,Solvants non halogénés,H3,32.65,,FR,,"R1,R13",Monaco
A2050,Y36,,Déchets amiante,,12.34,,FR,"D1,D5,D15",,Monaco
A3140,"Y6,Y41",,Produits de laboratoire,H11,6.54,,FR,,"R1,R13",Monaco
A4090,"Y14,Y34,Y35",,Acides Bases,"H8,H12",10.37,,FR,"D9,D13",,Monaco
"A1020,A4130","Y12,Y13",,Eléments sous pression,"H1,H3",3.62,,FR,"D10,D13",,Monaco
A4060,Y4,,Produits de laboratoire,,4.5,,FR,"D10,D13",,Monaco
A1030,Y29,,Produits mercuriels,H11,0.004,,FR,,"R3,R13",Monaco
,"Y2,Y3,Y4,Y5,Y6,Y8,Y9,Y13,Y14,Y16,Y17",,Filtres imprégnés,"H4.1,H12",6.26,,FR,,"R1,R13",Monaco
A4160,"Y2,Y3,Y4,Y5,Y6,Y8,Y9,Y13,Y14,Y16,Y17",,Charbons actifs,H12,0.18,,FR,,"R1,R12,R13",Monaco
A4070,"Y12,Y13",,Pâteux non halogénés peintures vernis colles résines,H4.1,34.2,,FR,,"R1,R13",Monaco
A3050,"Y12,Y13",,Isocyanates,H4.1,2.24,,FR,,"R1,R13",Monaco
A4140,"Y1,Y2,Y3,Y4,Y14",,Comburants ,"H3,H4.1,H4.2,H4.3,H5.1,H5.2,H6.1,H8",0.88,,FR,"D10,D13",,Monaco
A4030,Y4,,Produits phytosanitaires,"H6.1,H12",0.025,,FR,"D10,D13",,Monaco
A4010,Y3,,Médicaments,,0.007,,FR,,"R1,R13",Monaco
,Y3,,Radiographies,,0.6,,FR,,"R4,R13",Monaco
"A1020,A1030","Y2,Y9",976,,"H1,H3,H4.1,H5.1,H6.2,H8,H11,H12",,"KP,JP",KR,"D4,D5,D6,D15","R5,R6,R7",Mongolia
"A1020,A1030","Y2,Y9",976,,"H1,H3,H4.1,H5.1,H6.2,H8,H11,H12",,"KP,JP",KR,"D4,D5,D6,D15","R5,R6,R7",Mongolia
A1160,Y31,,Lead Acid Battery Scrap,"H1,H6.1,H8",1989.68,,KR,,R4,Myanmar
A4020,Y1,,Cytotoxic Waste,"H6.1,H11",200.74,,AU,D10,,New Zealand
A4030,Y4,,Mixed Pesticides,H6.1,28.231,,AU,,"R1,R13",New Zealand
A4030,Y4,,Waste pesticides,H6.1,9.94,"BE,NL,PA,GB,US",DE,D10,,New Zealand
A3140,Y6,,Non-halogenated solvents,H3,19.829,,AU,,"R1,R13",New Zealand
A3150,Y6,,Waste solvents (tetrachloroethylene),H6.1,14.06,"BE,NL,PA,GB,US",FR,D10,,New Zealand
A1180,Y22,,Mixed e-waste,H12,302.929,JP,KR,,R4,New Zealand
,Y31,,Mixed e-waste,H11,105.787,,JP,,R4,New Zealand
A4140,Y45,,PFAS Fire Fighting and Industrial PFAS containing chemicals,H12,120.04,"BE,NL,PA,GB,US",FR,D10,,New Zealand
"A1020,A1180,B1090,B1100","Y20,Y27,Y31,Y45",,Mixed e-waste,"H11,H12,H13",137.804,,JP,,"R4,R5",New Zealand
A1180,"Y22,Y23,Y31",,Mixed e-waste,"H12,H13",131.79971,MY,SG,,R4,New Zealand
A1180,"Y22,Y26,Y33",,Mixed e-waste,"H12,H13",49.386,"NL,PA,GB,US",BE,,R4,New Zealand
A1160,"Y31,Y34",,Used lead acid batteries,"H8,H11",18227.988,JP,KR,,R4,New Zealand
A4050,"Y32,Y33",,Spent pot liner,"H4.3,H6.1",1147.685,"EG,IT,MY,NL,SG,ES,GB",DE,,"R1,R12",New Zealand
A4050,"Y32,Y33",,Spent pot liner,"H4.3,H6.1",2144.948,"EG,IT,MY,MT,SG,LK",ES,,"R4,R5",New Zealand
A1160,"Y31,Y34",NI,Baterías Usadas con Acido Plomo,"H8,H11",1162.0,,CR,D10,"R4,R6",Nicaragua
A1160,"Y31,Y34",NI,Baterias Usadas Acido Plomo,"H8,H11",2000.0,"MX,PA",KR,D10,R4,Nicaragua
A1160,"Y31,Y34",NI,Baterias Usadas Acido Plomo,"H8,H11",1525.0,MX,KR,D10,R4,Nicaragua
"A1080,A1160",Y_,NI,"Residuos de Aparatos Eléctricos y Electrónicos, RAEE","H8,H11",20.0,,CR,"D14,D15",R4,Nicaragua
A1160,Y31,,Battery Waste,H8,4.9,,KR,,R4,Nigeria
A1160,Y31,,Battery Waste,H8,2.0,,BG,,R4,Nigeria
A1160,Y31,,Battery Waste,H8,0.5,,IR,,R4,Nigeria
A1160,Y31,,Battery Waste,H8,0.25,,CA,,R4,Nigeria
A1160,Y31,,Battery Waste,H8,0.3,,BE,,R4,Nigeria
B1010,Y22,,"Copper, Iron, Brass, and Aluminium Waste",H11,1.5,,DE,,R4,Nigeria
A1180,Y_,,E-waste,H11,5.0,,DE,,R4,Nigeria
A1180,Y_,,E-waste,,0.168,,FR,,R4,Nigeria
B1010,Y22,,copper waste,H11,0.5,,BE,,R4,Nigeria
B1010,Y22,,brass waste,H11,0.5,,CN,,R4,Nigeria
A4160,Y42,-,150202,,28.35,"SE,DE",NL,,R7,Norway
A4150,Y14,7083,160506,H3,2.398,SE,DK,D10,,Norway
A4140,Y35,7122,160903,H5.1,4.82,,SE,D10,,Norway
A4140,Y18,-,160506,H3,57.36,SE,DK,D10,,Norway
A4140,Y13,-,80501,H3,48.0,,SE,,R1,Norway
A4140,Y18,-,160507,,1.418,,SE,D10,,Norway
A4130,Y18,7091,160507,H5.1,26.295,,SE,D10,,Norway
A4120,Y13,-,160903,H5.2,5.5,,SE,D10,,Norway
A4120,Y23,-,100207,H12,7820.26,NL,DE,,R4,Norway
A4100,Y5,-,161001,H6.1,1515.9,,DK,,R1,Norway
A4100,Y35,-,60201,H6.1,117.0,SE,DK,D10,,Norway
A4090,Y35,-,60204,H8,6334.0,,DK,,R5,Norway
A4090,Y35,7135,70601,H8,59.222,,SE,D10,,Norway
A4090,Y34,-,60101,H6.1,191.0,SE,DK,D10,,Norway
A4090,Y34,-,60106,H8,31.937,,SE,D10,,Norway
A4090,Y34,7134,70101,H8,18.66,,SE,D10,,Norway
A4090,Y34,7134,110106,H8,31.251,,SE,D10,,Norway
A4090,Y18,-,20108,H6.1,21.0,,SE,D9,,Norway
A4090,Y18,-,60101,H8,15.5,,SE,D9,,Norway
A4090,Y18,-,70601,H6.1,337.2,,SE,D10,,Norway
A4090,Y17,-,160508,,23.3,NL,ES,D9,R3,Norway
A4090,Y17,7131,60101,H8,64.01,,SE,D9,,Norway
A4090,Y14,-,160506,H8,48.4,,SE,,R1,Norway
A4090,Y12,7132,60201,H8,44.77,,SE,D13,,Norway
A4090,Y12,7132,60201,H8,211.11,,SE,D9,,Norway
A4090,Y6,-,130503,H4.1,112.14,,SE,,R1,Norway
A4090,Y18,-,160504,H3,309.96,,SE,,R12,Norway
A4070,Y13,-,80111,H3,348.03,,SE,,R1,Norway
A4070,Y13,7121,80501,H3,41.6,,SE,,R1,Norway
A4070,Y12,-,80111,,1611.32,,SE,,R1,Norway
A4070,Y12,-,80111,H3,197.0,,SE,,R1,Norway
A4070,Y12,-,80117,H3,121.6,,SE,D10,,Norway
A4070,Y12,-,80409,H3,49.0,,DK,D10,,Norway
A4070,Y12,-,200127,,311.28,,SE,,R1,Norway
A4070,Y12,7165,70214,,364.12,,SE,,R1,Norway
A4070,Y12,7165,80119,,2962.6,,SE,,R3,Norway
A4070,Y12,7051,70308,H3,217.99,,SE,D10,,Norway
A4070,Y12,7051,80111,H3,18.9,,SE,,R1,Norway
A4070,Y12,7051,80111,H3,152.806,,SE,D10,,Norway
A4070,Y12,7051,200127,H3,78.45,,SE,,R1,Norway
A4070,Y9,-,130105,,179.3,,SE,D9,,Norway
A4070,Y9,-,130205,H3,17847.33,,GB,,R9,Norway
A4070,Y9,-,130506,H12,1854.009,,DK,,R9,Norway
A4060,Y9,-,130802,H12,40463.3,,DK,,R12,Norway
A4060,Y9,-,161001,,4178.525,,NL,,R1,Norway
A4060,Y9,-,161001,H11,101034.0,,DK,D8,,Norway
A4060,Y9,7012,130205,H11,2411.954,,SE,D10,,Norway
A4060,Y9,7042,160114,H11,636.52,,SE,,R3,Norway
A4060,Y9,7023,130703,H3,524.48,,SE,,R9,Norway
A4060,Y18,-,70101,,3992.8,,DK,,R3,Norway
A4060,Y18,7030,130802,H4.1,3577.6,,SE,,R12,Norway
A4060,Y18,7042,160114,H11,871.52,SE,DK,,R3,Norway
A4060,Y7,-,60311,H6.1,0.6,SE,DK,D10,,Norway
A4060,Y33,7100,110301,H6.1,7.974,,SE,D10,,Norway
A4060,Y18,-,60313,H6.1,87.0,,DK,D10,,Norway
A4050,Y5,-,170204,H12,211.18,,SE,,R1,Norway
A4050,Y5,7154,170204,H12,1248.87,,SE,,R1,Norway
A4040,Y4,-,20108,H6.1,3.68,,DK,D10,,Norway
A4040,Y4,-,20108,H6.1,8.89,SE,DK,D10,,Norway
A4040,Y4,7111,20108,H6.1,27.193,,SE,D10,,Norway
A4030,Y3,7152,180106,H6.1,5.134,,SE,D10,,Norway
A4030,Y1,-,180101,H6.2,15.32,SE,DK,D10,,Norway
A4030,Y1,-,180103,H6.2,26.978,,SE,D10,,Norway
A4020,Y1,-,180103,H6.2,76.27,SE,DK,,R1,Norway
A4020,Y1,6003,180103,H6.2,658.39,,SE,D10,,Norway
A4020,Y41,7151,70103,H3,47.0,"DK,SE",DE,D10,,Norway
A4020,Y2,-,70101,H12,49.0,,DK,,R1,Norway
A4020,Y2,-,70101,H12,1144.36,,SE,,R1,Norway
A4010,Y11,-,70108,H11,348.0,,DK,D10,,Norway
A4010,Y11,-,100317,H3,24.6,,SE,D10,,Norway
A4010,Y11,7152,100317,H3,7.582,,SE,D10,,Norway
A3190,Y11,7152,170303,,186.8,,DK,D10,,Norway
A3190,Y11,7152,170303,H3,11.159,,SE,D10,,Norway
A3190,Y10,-,130101,H12,1.0,,DK,D10,,Norway
A3190,Y10,-,130101,H12,349.0,,SE,D10,,Norway
A3190,Y10,-,160209,H11,0.5,,SE,D10,,Norway
A3180,Y10,-,170902,H12,59.75,"DK,SE",DE,D10,,Norway
A3180,Y10,7211,170903,H6.1,75.3,,SE,,R1,Norway
A3180,Y10,7210,150202,H12,4.908,,SE,D10,,Norway
A3180,Y10,7210,160209,H12,9.63,,SE,,R1,Norway
A3180,Y41,7151,70207,H6.1,322.86,DK,DE,D10,,Norway
A3180,Y6,-,160508,H3,5.8,,SE,D10,,Norway
A3170,Y45,7240,140601,H12,96.533,"BE,NL",FR,D10,,Norway
A3170,Y18,-,70107,,7.2,,DK,D10,,Norway
A3160,Y6,-,70103,H3,23.0,,DK,D10,,Norway
A3160,Y41,-,80409,H3,18.5,,SE,D10,,Norway
A3160,Y41,7151,70207,H6.1,1.513,,SE,D10,,Norway
A3150,Y41,7151,70707,H6.1,2.397,,SE,D10,,Norway
A3150,Y6,-,80111,,12.0,,SE,D10,,Norway
A3150,Y6,-,160508,H3,51.77,,SE,D10,,Norway
A3150,Y45,-,170903,,1.428,,SE,D10,,Norway
A3140,Y18,-,191003,H11,9944.7,,SE,,R1,Norway
A3140,Y18,-,160508,H3,394.0,,DK,D10,,Norway
A3120,Y13,-,70208,,39.26,SE,DE,D10,,Norway
A3120,Y13,7121,70208,H3,109.68,SE,DE,,R1,Norway
A3070,Y13,7121,80409,H3,61.585,,SE,D10,,Norway
A3050,Y13,7121,80501,,8.045,SE,DK,D10,,Norway
A3050,Y13,7121,80501,H3,78.859,,SE,D10,,Norway
A3050,Y13,7121,80501,H3,14.166,SE,DK,D10,,Norway
A3050,Y8,-,130899,H4.1,435.57,,SE,,R1,Norway
A3050,Y8,-,150202,H4.1,125.0,,SE,D10,,Norway
A3050,Y8,7012,130205,H12,800.64,SE,DK,,R9,Norway
A3020,Y8,7012,130307,H12,367.8,,DE,,R9,Norway
A3020,Y8,7022,130899,H4.1,397.953,,SE,D10,,Norway
A3020,Y8,7022,150110,H4.1,218.96,,SE,,R1,Norway
A3020,Y18,7012,190207,H3,3504.2,,BE,,R9,Norway
A3020,Y34,-,160805,H4.2,50.6,,GB,,R5,Norway
A3020,Y34,-,160805,H8,149.545,,GB,,R5,Norway
A3020,Y18,-,160807,H4.2,818.648,DK,DE,,R4,Norway
A2030,Y31,1519,160215,H11,482.0,,SE,,R4,Norway
A2030,Y31,1504,170410,,275.7,SE,DE,,R4,Norway
A2030,Y22,-,160216,H12,2658.32,,SE,,R4,Norway
A2030,Y22,1504,160216,H12,862.98,,SE,,R4,Norway
A1190,Y41,1599,200135,H12,94.78,,SE,,R4,Norway
A1180,Y29,-,200121,H11,896.006,,SE,,R4,Norway
A1180,Y22,1599,200135,H11,349.84,,SE,,R4,Norway
A1180,Y18,-,200135,,1072.472,,SE,,R11,Norway
A1180,Y18,-,200135,H12,1925.188,"LV,SE",LT,,R13,Norway
A1180,Y10,-,200135,,289.6,,SE,,R12,Norway
A1180,Y27,7084,160602,H8,168.4,NL,DE,,R4,Norway
A1180,Y26,-,160602,H8,34.5,,SE,,R4,Norway
A1180,Y34,-,160601,H8,152.337,,SE,,R4,Norway
A1180,Y34,7092,160601,H8,3479.953,,SE,,R4,Norway
A1170,Y31,-,160601,,81.505,,SE,,R4,Norway
A1170,Y31,-,160601,H8,16423.0,,GB,,R4,Norway
A1170,Y31,7092,160601,H8,287.0,,DE,,R4,Norway
A1160,Y31,7092,160601,H8,1019.0,,SE,,R4,Norway
A1160,Y23,7083,100505,H8,42.5,"NL,SE",BE,,R4,Norway
A1160,Y18,-,110202,H8,24.4,SE,FI,,R4,Norway
A1160,Y17,7131,60101,H8,1.05,,SE,D13,,Norway
A1160,Y29,-,60404,H8,1.642,"DK,SE",DE,D12,,Norway
A1160,Y29,7081,50701,H8,8.1,"NL,DE",CH,D9,,Norway
A1080,Y24,7154,191206,H6.1,329.3,,SE,,R1,Norway
A1060,Y31,-,60405,,14.364,,BE,,R4,Norway
A1030,Y31,-,170409,,24.0,"DK,DE",AT,,R4,Norway
A1030,Y18,-,100207,H12,132.1,DE,CA,,R4,Norway
A1030,Y18,-,191212,,716.55,DK,DE,,R12,Norway
A1030,Y18,-,191212,,421.75,DK,DE,,R4,Norway
A1010,Y9,-,160113,,75.25,NL,BE,,R3,Norway
A1010,Y9,7023,130702,H3,55.63,,SE,,R1,Norway
A1010,Y8,7022,160708,H12,12.64,,SE,,R1,Norway
A1010,Y6,-,70704,H3,185.549,,SE,,R1,Norway
A1010,Y5,-,170204,,852.0,,SE,,R1,Norway
A1010,Y5,-,170204,H12,171.66,,SE,,R1,Norway
A4070,Y12,,waste paints and varnishes wit organic solvents ,"H3,H6.1,H8,H12",250.0,AE,GR,,"R1,R12",Oman
A2030,Y18,,spent catalysts & adsorbents (Molsieve) ,"H4.1,H4.2,H6.2,H12",200.0,,GR,,"R5,R12",Oman
A4030,Y4,,pesticides & solids contaminated with pesticides,,100.0,,FR,D10,,Oman
A3020,Y8,"H11, H12, H13",Used lube oil,"H11,H12,H13",20000.0,,BH,,R9,Oman
A4100,Y23,,Electric arc furnace dust,H12,15000.0,,SA,,R4,Oman
B1080,,,Zinc Ash,,2400.0,,KR,,R4,Pakistan
A2050,Y_,,Asbestos waste,,2.0,,FR,D_,,Pakistan
A1010,Y29,_,Liquid metallic mercury,"H8,H11",25.0,"BE,CR,PA",SE,D2,,Peru
A3180,Y10,_,Liquid polychlorinated biphenyls (PCBs) and PCB transformers,"H6.1,H10,H11,H12",900.0,"BE,NL,PA",ES,"D9,D10",,Peru
A3180,Y10,L404,Polychlorinated Biphenyls (PCB) wastes,H12,113.1,,FR,D10,,Philippines
,Y22,,Copper bearing sludge,,3000.0,,KR,,R4,Philippines
,Y31,M506,PRINTED CIRCUIT BOARD,H11,1.2,,JP,,R4,Philippines
A1050,Y22,,CU SLUDGE,H12,1.5,,JP,,R4,Philippines
,"Y22,Y31",M506,ASSORTED PCB WITH COMPONENTS,"H11,H12",500.0,,JP,,R4,Philippines
A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,3600.0,,KR,,R4,Philippines
,Y9,,HAZARDOUS SLUDGE,H12,224.0,,SE,,R4,Philippines
,"Y12,Y13",,HEAVY METAL CONTAINING WASTE,H12,60.0,,SE,,R4,Philippines
,"Y12,Y13",,WASTE IMPREGNATION RESIN,H12,60.0,,SE,,R4,Philippines
,Y41,,WASTE PERCHOLOROETHYLENE,,2.0,,SE,,R4,Philippines
A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,1000.0,,JP,,R4,Philippines
A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,1000.0,,JP,,R4,Philippines
A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,250.0,,SG,,R4,Philippines
A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,1500.0,,KR,,R4,Philippines
A1180,"Y22,Y31",M506,WEEE,H11,300.0,,KR,,R4,Philippines
A1180,Y31,M506,WEEE,H11,1000.0,,JP,,R4,Philippines
A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,500.0,,JP,,R4,Philippines
,Y31,M506,PRINTED CIRCUIT BOARD,H11,200.0,,JP,,R4,Philippines
A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,2400.0,,JP,,R4,Philippines
,Y18,M506,TONERS AND INK CARTRIDGES,H13,200.0,,SG,,R4,Philippines
A1180,"Y22,Y31",M506,PRINTED CIRCUIT BOARD,H11,200.0,,JP,,R4,Philippines
A1180,Y18,M506,WEEE,H13,300.0,,SG,,R4,Philippines
A1180,Y31,M506,WEEE,H11,1000.0,,JP,,R4,Philippines
A4050,Y33,,CIRCLING FILTER OF EG GOLD SOLUTION,H11,20.0,,JP,,R4,Philippines
,Y22,,COPPER SLUDGE,H11,250.0,,KR,,R4,Philippines
A4050,Y33,,AU ABSORPTION RESIN,H11,5.0,,JP,,R4,Philippines
A1180,Y31,,RECHARGEABLE LITHIUM ION BATTERY SCRAP,H11,300.0,,JP,,R4,Philippines
,Y22,,COPPER SLUDGE,H11,3000.0,,KR,,R4,Philippines
A1180,"Y22,Y31",,ASSORTED E-WASTE,H11,500.0,,JP,,R4,Philippines
A1170,Y42,,SPENT LITHIUM ION BATTERY,"H10,H13",27.0,,AU,,R4,Philippines
A1050,Y17,,SLUDGE WITH AU,H11,100.0,,JP,,R4,Philippines
A1050,Y17,,SLUDGE WITH AG,H11,100.0,,JP,,R4,Philippines
A1050,Y17,,SLUDGE WITH AUPD,H11,100.0,,JP,,R4,Philippines
,Y31,M506,WEEE,H11,16.0,,JP,,R4,Philippines
,Y31,M506,PRINTED CIRCUIT BOARD,H11,1800.0,,KR,,R4,Philippines
,"Y22,Y31",M506,PRECIOUS METAL BEARING E-WASTES,H11,200.0,,JP,,R4,Philippines
A3020,Y8,"130205*,130206*,130206*,130110*",,H12,1307.02,,DE,,R9,Poland
A1050,Y17,110109*,,"H11,H12",79.22,,DE,,R4,Poland
A2030,,160802*,Spent catalysts,"H4.2,H11",5735.833,CZ,AT,,R4,Poland
,Y5,170204*,Wooden sleepers,H12,3513.52,DE,GB,,R3,Poland
A3020,Y8,"130205*,130208*,130206*,130110*",,H12,5966.684,,DE,,R9,Poland
Y47,,190107*,Solid wastes from gas treatment,H12,1896.7,,DE,,R5,Poland
A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,108.331,"DE,AT",IT,,R4,Poland
A1030,Y29,170503*,,H8,329.94,,DE,D12,,Poland
A4100,"Y23,Y26,Y31",100815*,,"H11,H12",118.92,DE,BE,,R12,Poland
A4070,"Y6,Y12,Y13,Y42",080111*,,H3,14.54,,DE,,R2,Poland
A1020,Y31,100402*,,H6.1,154.248,DE,BE,,R4,Poland
A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,28.7785,"DE,AT",IT,,R4,Poland
A1030,Y17,110198*,,H12,17.1436,DE,BE,,R4,Poland
,,100308*,Salt slags   ,H4.3,2224.5,,DE,,R5,Poland
A2030,Y11,160802*,,H4.2,61.6,DE,FR,,R8,Poland
,,100308*,Salt slags   ,H4.3,6856.08,,DE,,R5,Poland
,,150202*,"Absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",H12,8.429,CZ,AT,,R4,Poland
A1130,Y17,110107*,,H6.1,87.0,DE,BE,,R6,Poland
A4100,"Y23,Y26,Y31",100815*,,"H11,H12",314.76,DE,BE,,R12,Poland
A2050,Y36,150111*,,H11,139.7,,CZ,,R4,Poland
Y47,,190107*,,H12,5238.887,,DE,,R5,Poland
A1030,Y29,170503*,,H8,235.72,,DE,D12,,Poland
A2030,,160807*,Spent catalysts,H12,58.261,,DE,,R4,Poland
A2030,,160807*,Spent catalysts,H12,0.685,,DE,,R4,Poland
A2030,Y11,160807*,,H4.2,24.3,,DE,,R4,Poland
A2030,,160802*,Nickel spent catalysts,H12,15.955,,DE,,R4,Poland
A3020,Y8,"130205*,130208*,130206*,130110*",,H12,829.54,,DE,,R9,Poland
,,191211*,Wastes from mechanical treatment of waste containing dangerous substances,H12,452.54,,DE,,R1,Poland
A2030,Y11,160802*,,,12.59,,DE,,R4,Poland
,,100308*,Salt slags   ,H4.3,4995.24,,DE,,R5,Poland
A4140,"Y29,Y33,Y34,Y35",160506*,,"H6.1,H8",9.988,,DE,,R4,Poland
